account_id,customer_id,account_type,balance,status,opened_date,branch_id
A00000,C09416,Savings,490349.79,Active,03-06-2024,B030
A00001,C02406,Current,247306.73,Active,11-11-2025,B029
A00002,C09854,Current,473425.67,Active,08-09-2023,B041
A00003,C08555,Current,123445.12,Closed,22-01-2026,B003
A00004,C01076,Savings,403457.93,Closed,09-06-2024,B024
A00005,C03079,Current,166380.14,Active,04-04-2026,B023
A00006,C08115,Current,189675.99,Active,14-06-2022,B048
A00007,C00543,Current,462549.91,Closed,27-08-2021,B007
A00008,C06086,Savings,287860.84,Closed,24-09-2023,B028
A00009,C05392,Savings,259910.51,Closed,11-11-2023,B009
A00010,C06873,Current,81083.38,Closed,12-12-2024,B045
A00011,C11252,Current,240611.52,Closed,01-01-2023,B044
A00012,C04855,Savings,24476.65,Active,24-04-2023,B012
A00013,C07739,Savings,486059.27,Active,18-06-2025,B005
A00014,C09362,Current,333742.66,Closed,03-01-2026,B021
A00015,C11954,Current,269071.75,Closed,08-06-2023,B045
A00016,C01223,Current,86447.33,Active,08-08-2023,B048
A00017,C07325,Savings,54306.45,Closed,12-02-2023,B030
A00018,C01233,Savings,489108.37,Closed,20-08-2024,B031
A00019,C00240,Savings,244510.63,Closed,26-06-2021,B006
A00020,C10181,Current,62567.27,Closed,09-02-2026,B001
A00021,C07959,Savings,320725.83,Closed,10-04-2025,B038
A00022,C07797,Savings,451548.78,Active,07-10-2023,B012
A00023,C04034,Savings,460313.11,Active,04-05-2025,B048
A00024,C09664,Savings,85993.65,Active,14-04-2022,B017
A00025,C08823,Savings,318207.72,Active,29-10-2025,B022
A00026,C00086,Current,152951.49,Closed,31-10-2024,B030
A00027,C08190,Current,226332.91,Active,09-10-2021,B026
A00028,C04332,Current,62591.77,Active,24-10-2021,B023
A00029,C10301,Savings,155356.91,Closed,13-09-2024,B029
A00030,C08534,Savings,178795.32,Closed,14-03-2026,B021
A00031,C08062,Savings,432448.26,Active,12-11-2024,B001
A00032,C02553,Current,292552.17,Active,12-12-2024,B040
A00033,C09314,Current,138994.03,Active,09-08-2023,B029
A00034,C00326,Current,447340.43,Active,19-07-2025,B043
A00035,C05657,Current,469236.26,Closed,10-05-2022,B010
A00036,C05585,Savings,233579.24,Closed,27-02-2023,B035
A00037,C04151,Savings,204773.26,Active,12-05-2023,B004
A00038,C05339,Savings,55418.96,Closed,10-05-2022,B049
A00039,C03137,Savings,8857.63,Closed,30-03-2026,B011
A00040,C04247,Savings,234463.61,Active,21-06-2024,B003
A00041,C06806,Savings,370719.52,Closed,27-05-2022,B036
A00042,C01300,Current,37231.6,Active,07-09-2024,B023
A00043,C05105,Current,302994.18,Closed,30-12-2022,B041
A00044,C10213,Current,106132.48,Closed,21-02-2023,B049
A00045,C10201,Current,6384.08,Closed,03-01-2022,B038
A00046,C02542,Savings,260291.4,Active,27-12-2024,B012
A00047,C07967,Savings,403447.34,Active,23-08-2021,B037
A00048,C08303,Current,401982.37,Closed,10-05-2025,B015
A00049,C10354,Current,169934.32,Closed,04-05-2022,B018
A00050,C09972,Savings,223829.15,Closed,15-07-2024,B046
A00051,C11864,Savings,4901.76,Active,01-05-2025,B049
A00052,C04355,Current,473245.94,Active,20-02-2024,B008
A00053,C01709,Savings,205980.26,Active,01-05-2022,B033
A00054,C01921,Current,217610.7,Active,12-01-2025,B013
A00055,C06247,Savings,210110.19,Closed,12-11-2022,B031
A00056,C05233,Current,210787.25,Active,26-10-2021,B028
A00057,C03524,Current,377026.34,Closed,03-01-2026,B024
A00058,C01246,Savings,279926.94,Active,04-05-2025,B004
A00059,C03198,Current,415182.27,Closed,12-11-2021,B043
A00060,C09077,Current,150644.23,Active,31-12-2022,B039
A00061,C06055,Current,483000.12,Closed,17-07-2024,B004
A00062,C09340,Current,294128.98,Active,09-08-2024,B042
A00063,C07491,Savings,310857.42,Active,13-05-2024,B045
A00064,C11220,Current,486176.24,Closed,01-09-2024,B037
A00065,C99999,Savings,162752.92,Active,25-09-2024,B048
A00066,C03340,Savings,167857.41,Active,11-07-2023,B045
A00067,C11090,Current,46326.46,Active,22-08-2024,B047
A00068,C07594,Savings,381124.92,Closed,15-04-2025,B027
A00069,C01794,Savings,227191.2,Closed,03-08-2021,B027
A00070,C09720,Savings,196311.63,Active,19-09-2025,B005
A00071,C07303,Current,55674.37,Active,08-03-2022,B001
A00072,C11158,Savings,231343.66,Active,15-10-2023,B016
A00073,C08889,Current,421272.4,Active,01-01-2022,B012
A00074,C01539,Savings,67447.45,Active,31-01-2026,B032
A00075,C05615,Savings,265018.71,Closed,29-05-2024,B042
A00076,C11611,Current,44306.25,Active,06-08-2023,B035
A00077,C09434,Savings,26378.09,Active,05-03-2026,B034
A00078,C01176,Current,197531.47,Active,28-02-2024,B042
A00079,C07954,Current,401478.47,Active,05-08-2025,B025
A00080,C05161,Savings,251665.13,Closed,28-12-2022,B047
A00081,C01049,Current,137768.68,Closed,26-09-2024,B027
A00082,C09493,Savings,451718.91,Active,23-06-2024,B031
A00083,C10304,Current,128743.33,Active,02-05-2024,B002
