account_id,customer_id,account_type,balance,status,opened_date,branch_id
A00012,C04855,Savings,24476.65,Active,24-04-2023,B012
A00038,C05339,Savings,55418.96,Closed,10-05-2022,B049
A00062,C09340,Current,294128.98,Active,09-08-2024,B042
A00075,C05615,Savings,265018.71,Closed,29-05-2024,B042
A00090,C04779,Savings,485188.68,Closed,18-08-2023,B000
A00097,C02778,Current,372577.51,Closed,09-01-2026,B034
A00101,C11997,Current,253525.08,Active,19-05-2025,B006
A00103,C04244,Savings,238236.77,Closed,21-10-2024,B013
A00107,C11391,Savings,148151.92,Closed,17-11-2022,B004
A00137,C01023,Savings,239042.19,Active,21-06-2025,B014
A00144,C10738,Current,440598.34,Closed,16-02-2025,B021
A00176,C07974,Savings,407407.66,Closed,19-10-2024,B012
A00184,C01175,Current,184442.95,Closed,24-09-2023,B001
A00189,C09678,Savings,71594.15,Active,20-05-2022,B027
A00192,C04177,Current,197629.03,Closed,25-05-2025,B045
A00232,C09325,Savings,346282.09,Closed,10-04-2023,B015
A00234,C06448,Current,150364.9,Closed,06-06-2024,B016
A00242,C06350,Savings,279320.12,Active,24-04-2025,B037
A00254,C00743,Savings,379207.66,Active,14-08-2023,B030
A00255,C02753,Savings,383590.42,Closed,28-02-2023,B031
A00265,C99999,Savings,323920.57,Closed,11-02-2024,B030
A00281,C01695,Current,248682.61,Active,14-10-2025,B043
A00287,C04031,Current,405414.07,Closed,21-02-2023,B047
A00297,C09329,Savings,109213.32,Active,04-07-2023,B007
A00300,C07614,Savings,176811.55,Active,03-06-2024,B029
A00305,C06811,Savings,496094.08,Active,02-03-2023,B046
A00312,C08361,Savings,201620.08,Closed,21-05-2023,B044
A00342,C01859,Savings,74703.74,Closed,28-12-2022,B034
A00352,C04380,Current,233025.89,Active,02-09-2024,B002
A00353,C00441,Savings,86714.57,Closed,29-10-2021,B038
A00368,C03484,Savings,439897.35,Closed,26-11-2024,B039
A00380,C07164,Savings,345795.22,Closed,11-08-2022,B039
A00399,C05125,Current,366456.68,Closed,19-06-2025,B021
A00410,C10290,Savings,191091.0,Active,05-05-2021,B008
A00417,C07982,Savings,431455.82,Active,15-04-2022,B046
A00429,C05649,Savings,110201.87,Closed,30-10-2023,B048
A00455,C10364,Savings,401987.12,Closed,12-02-2022,B006
A00469,C05818,Current,28277.99,Closed,07-10-2023,B012
A00496,C02520,Savings,322610.55,Active,01-05-2022,B028
A00500,C06146,Savings,406877.88,Closed,03-11-2022,B037
A00512,C03425,Savings,463806.1,Closed,26-10-2022,B038
A00517,C10301,Savings,-75420.86,Active,25-04-2026,B042
A00534,C05387,Savings,71923.47,Active,19-06-2024,B045
A00597,C04298,Current,1736.73,Closed,15-12-2021,B028
A00609,C09223,Current,228757.2,Active,18-07-2022,B030
A00627,C02295,Current,47930.51,Active,27-10-2022,B046
A00639,C11755,Savings,478054.41,Closed,09-12-2022,B018
A00640,C02838,Savings,262319.02,Active,02-06-2021,B020
A00643,C10221,Savings,9565.55,Active,05-05-2022,B030
A00679,C06471,Savings,291691.55,Active,23-10-2021,B033
A00688,C07429,Savings,398199.76,Closed,19-05-2025,B007
A00695,C10067,Current,113477.08,Closed,07-05-2025,B048
A00711,C06014,Savings,335711.48,Active,18-08-2025,B022
A00712,C08245,Savings,255230.72,Active,06-02-2022,B013
A00729,C99999,Savings,289902.57,Closed,22-09-2025,B002
A00740,C11393,Savings,144931.68,Active,05-02-2025,B024
A00753,C02076,Current,255987.01,Active,20-07-2023,B015
A00757,C02800,Current,240666.59,Active,01-04-2025,B033
A00766,C06707,Current,26788.98,Closed,26-08-2022,B014
A00782,C01533,Current,249376.76,Closed,15-04-2023,B034
A00785,C02514,Savings,81188.09,Closed,18-03-2024,B015
A00794,C03183,Savings,91073.17,Active,19-02-2022,B005
A00799,C02338,Current,70697.6,Active,06-03-2022,B026
A00825,C08851,Current,139144.35,Active,04-10-2023,B016
