account_id,txn_date,daily_total
A00000,04-03-2026,89090.31
A00000,17-05-2024,84542.59
A00000,28-06-2024,5734.79
A00001,20-09-2025,24494.46
A00001,22-11-2025,78369.4
A00001,24-06-2024,96731.79
A00002,03-04-2026,95351.88
A00002,16-11-2025,79473.73
A00002,31-08-2024,83631.33
A00003,05-07-2025,93003.23
A00003,16-06-2024,20819.29
A00003,17-09-2024,69862.7
A00004,03-10-2025,19973.18
A00004,20-08-2025,54067.95
A00005,10-06-2024,-67620.77
A00005,18-01-2026,82648.8
A00005,21-03-2025,89282.2
A00006,08-04-2025,34874.7
A00006,08-11-2025,57926.83
A00006,18-01-2025,36631.35
A00007,10-05-2024,55305.3
A00007,25-07-2024,83880.11
A00007,27-10-2025,6383.25
A00008,14-01-2026,4661.76
A00008,29-01-2025,17348.85
A00009,04-09-2025,14459.37
A00009,15-01-2026,9973.98
A00009,27-03-2025,88270.2
A00010,01-10-2024,18833.7
A00010,02-03-2025,49732.39
A00010,08-09-2025,54240.24
A00010,16-05-2024,35174.72
A00011,14-03-2025,94151.55
A00011,15-09-2025,10986.55
A00011,29-07-2025,46050.7
A00013,22-03-2026,46803.66
A00013,22-12-2024,5890.67
A00013,30-01-2026,16084.28
A00014,17-05-2024,67890.93
A00015,01-05-2025,49800.96
A00015,06-11-2024,95034.75
A00015,13-09-2025,86055.27
A00015,16-02-2025,40308.25
A00015,19-03-2025,94118.68
A00015,21-11-2024,43821.52
A00015,28-02-2025,62473.97
A00016,12-02-2025,30017.44
A00016,12-05-2024,76682.4
A00016,19-10-2024,65845.91
A00016,22-08-2025,43485.18
A00016,25-11-2024,13303.44
A00016,27-06-2024,35746.69
A00017,08-11-2024,27828.89
A00017,25-08-2025,63716.08
A00018,05-10-2024,31475.21
A00018,09-01-2025,61598.97
A00019,02-12-2025,48760.13
A00019,21-12-2025,89883.28
A00020,03-12-2025,77878.58
A00020,04-02-2026,17760.28
A00020,04-08-2025,58097.08
A00020,09-11-2025,31334.54
A00020,27-11-2024,85458.96
A00021,23-01-2025,24747.42
A00022,06-07-2024,97327.75
A00022,08-09-2025,5641.01
A00022,30-05-2024,46740.35
A00023,04-09-2024,9173.37
A00023,12-12-2025,10713.36
A00023,20-07-2024,-54064.19
A00024,08-04-2026,23635.52
A00024,08-06-2024,30712.34
A00024,08-06-2025,38872.2
A00024,10-05-2025,20786.91
A00024,18-08-2024,85833.15
A00024,21-03-2025,28734.89
A00025,07-01-2026,96976.86
A00025,26-06-2024,47357.99
A00026,06-07-2024,51653.51
A00026,20-04-2026,51271.26
A00027,09-11-2024,8086.39
A00027,14-04-2025,3261.91
A00028,03-03-2025,94144.3
A00028,18-02-2025,22728.09
A00029,16-09-2024,30437.4
A00029,24-01-2026,6548.92
A00030,05-04-2025,42384.96
A00030,28-05-2025,88897.74
A00031,05-10-2024,21539.11
A00031,21-08-2025,73155.9
A00031,22-03-2025,75956.4
A00032,05-01-2026,9882.9
A00032,05-12-2024,37241.85
A00033,03-09-2024,8754.96
A00033,12-09-2024,3286.3
A00033,19-12-2024,33740.65
A00033,26-03-2026,15916.24
A00033,26-07-2024,43382.16
A00033,31-08-2025,1397.34
A00034,03-10-2024,28432.75
A00034,04-12-2024,47939.24
A00034,06-03-2025,80716.78
A00034,12-12-2025,27458.04
A00034,13-08-2024,11547.52
A00035,11-06-2024,29710.73
A00036,12-07-2024,95027.15
A00036,12-10-2024,65867.09
A00036,26-11-2024,89896.13
A00036,26-11-2025,17808.58
A00037,22-10-2024,8675.79
A00037,23-04-2026,89604.28
A00037,25-11-2024,6211.79
A00039,21-02-2026,80933.11
A00040,03-11-2025,32581.64
A00040,04-10-2024,88980.52
A00041,10-11-2025,-42554.19
A00041,13-12-2025,15946.0
A00041,21-06-2024,83705.81
A00041,22-10-2024,96277.74
A00042,03-12-2025,76845.69
A00042,15-06-2024,63905.02
A00042,26-12-2025,56329.65
A00043,01-12-2025,10647.67
A00043,13-11-2025,45536.43
A00043,17-04-2025,12547.17
A00044,03-04-2025,89772.55
A00044,09-07-2025,22747.61
A00044,22-11-2025,88944.91
A00044,23-01-2026,5967.11
A00045,11-03-2026,12749.15
A00045,23-07-2025,36181.72
A00045,27-09-2025,70751.8
A00046,08-07-2024,98791.57
A00046,13-07-2025,4476.55
A00047,06-02-2026,2409.17
A00047,08-04-2025,79959.88
A00047,14-03-2026,15890.37
A00047,23-12-2024,27776.2
A00047,29-09-2024,57384.23
A00048,05-06-2024,38588.34
A00048,06-03-2025,28861.61
A00048,25-12-2024,19579.58
A00049,13-09-2024,52914.3
A00049,21-01-2026,11926.12
A00049,30-05-2025,81663.77
A00049,30-12-2024,64367.47
A00050,01-04-2026,79222.61
A00050,25-03-2025,19202.94
A00051,19-10-2025,58513.33
A00051,25-07-2025,87939.32
A00052,01-05-2025,45778.7
A00052,07-12-2024,90137.53
A00052,08-11-2024,55208.85
A00052,24-02-2025,10236.68
A00052,24-05-2025,27381.49
A00053,03-02-2026,-66429.18
A00053,05-11-2024,51258.12
A00053,18-01-2026,84268.27
A00053,18-07-2025,92318.25
A00053,27-02-2025,24509.63
A00053,30-12-2024,23861.81
A00054,22-08-2024,24432.71
A00054,25-01-2025,52180.56
A00054,25-09-2024,11193.11
A00055,15-09-2024,90641.4
A00055,28-01-2026,36724.11
A00056,04-02-2026,8173.03
A00056,08-09-2025,10676.56
A00056,16-09-2025,6200.27
A00056,21-11-2025,2103.73
A00056,30-08-2024,69308.69
A00057,09-05-2024,75108.19
A00057,17-12-2025,92405.87
A00057,28-07-2025,89772.61
A00058,05-01-2025,91526.54
A00058,09-11-2025,78181.0
A00059,08-05-2025,69204.17
A00059,24-08-2024,-74922.89
A00060,09-06-2025,32955.19
A00060,12-10-2024,90460.77
A00061,04-08-2025,-34695.0
A00061,11-09-2024,23894.56
A00061,12-08-2025,43923.4
A00063,04-02-2026,93073.13
A00063,07-01-2026,57350.61
A00063,16-12-2024,53612.86
A00063,21-07-2025,98476.26
A00063,25-10-2024,43249.62
A00063,27-12-2024,44572.63
A00064,08-04-2026,89294.57
A00064,29-06-2025,29066.35
A00065,22-06-2024,82751.72
A00065,27-07-2025,41352.17
A00066,12-11-2025,19265.62
A00067,26-04-2025,30853.46
A00068,20-12-2024,99194.49
A00069,06-10-2024,20212.03
A00069,27-05-2025,97913.62
A00070,02-10-2024,3233.22
A00070,07-05-2024,40499.5
A00070,19-06-2025,87336.26
A00070,27-08-2024,20076.07
A00071,12-08-2024,79414.57
A00071,19-02-2025,86922.18
A00071,19-06-2024,51010.24
A00071,22-05-2025,66117.8
A00072,12-02-2025,16669.87
A00072,15-07-2025,18071.49
A00072,27-07-2025,2307.1
A00072,27-08-2024,98382.38
A00072,30-11-2024,48180.48
A00073,29-11-2025,57376.41
A00074,14-04-2025,76424.36
A00076,04-10-2024,38657.96
A00076,08-01-2026,59329.22
A00076,10-01-2025,83224.92
A00076,10-05-2024,2611.14
A00077,31-10-2024,56296.3
A00078,01-02-2025,85149.93
A00078,04-07-2025,76454.43
A00078,06-04-2026,32035.14
A00078,11-06-2024,62476.36
A00078,14-04-2026,77835.75
A00078,19-04-2025,88806.86
A00078,19-10-2024,944.81
A00078,27-07-2024,43942.16
A00079,27-08-2024,69555.64
A00080,01-04-2025,34310.07
A00080,05-01-2026,30511.0
A00080,19-01-2025,64114.45
A00081,22-05-2024,92899.95
A00082,06-07-2024,28205.29
A00082,15-01-2026,78962.49
A00082,31-08-2025,-35030.91
A00083,02-04-2026,75046.52
A00083,26-04-2025,24920.75
A00084,07-03-2026,91630.81
A00084,17-08-2024,11348.67
A00084,21-07-2024,86991.26
A00085,07-10-2025,29799.44
A00085,08-09-2024,97678.7
A00085,11-04-2025,8543.93
A00086,08-07-2025,960.97
A00086,15-03-2026,75468.4
A00086,20-12-2025,70632.34
A00087,12-04-2026,62265.83
A00087,26-03-2026,32441.96
A00087,27-05-2024,33305.35
A00088,05-09-2024,55990.08
A00088,14-09-2024,61287.95
A00088,15-07-2025,82444.59
A00089,13-09-2024,31020.69
A00089,21-06-2025,46346.58
A00089,27-06-2025,20039.4
A00091,21-04-2025,12636.39
A00091,25-06-2025,9694.77
A00091,26-11-2024,96607.69
A00091,30-01-2025,30618.99
A00091,30-04-2024,9785.18
A00092,03-05-2024,42386.46
A00092,14-10-2024,71378.39
A00092,20-11-2024,74284.4
A00092,23-04-2025,88525.27
A00093,10-06-2024,75626.05
A00093,16-03-2026,8000.33
A00094,17-09-2024,4529.36
A00094,20-02-2026,80502.72
A00094,21-02-2026,56653.26
A00095,02-01-2025,7999.96
A00095,26-03-2026,16250.03
A00095,30-03-2026,56282.38
A00096,04-10-2024,17276.54
A00096,11-12-2024,36300.41
A00096,12-01-2025,33161.83
A00098,08-09-2024,2014.08
A00098,25-11-2025,95727.88
A00099,19-12-2024,70004.05
A00099,20-09-2024,-41948.23
A00099,27-08-2024,58677.45
A00099,27-12-2024,21143.52
A00100,18-06-2025,87949.38
A00100,25-06-2025,79727.5
A00100,27-03-2026,99810.38
A00102,06-11-2024,1502.5
A00104,03-09-2025,74343.21
A00104,20-01-2026,25023.88
A00104,24-02-2025,56320.89
A00104,28-02-2025,35361.02
A00105,13-08-2024,18372.16
A00105,20-07-2024,5356.93
A00105,22-03-2025,77875.22
A00105,28-04-2024,92262.61
A00105,29-03-2026,89021.21
A00105,30-05-2024,34554.14
A00106,25-05-2025,21500.93
A00108,17-07-2024,92489.6
A00109,09-10-2025,31328.75
A00109,11-02-2025,59432.6
A00109,16-04-2025,43634.62
A00109,16-11-2025,86660.39
A00109,24-02-2025,21722.29
