txn_id,account_id,txn_date,txn_type,amount,channel
T000047,A99999,06-09-2024,Credit,96305.99,IMPS
T000118,A99999,07-10-2025,Credit,93976.27,ATM
T000241,A99999,11-10-2025,Debit,71474.0,UPI
T000283,A99999,14-03-2026,Debit,60150.69,UPI
T000328,A99999,29-10-2024,Debit,20193.84,NEFT
T000397,A99999,03-02-2026,Credit,97014.99,NEFT
T000428,A99999,31-12-2024,Debit,78454.02,NEFT
T000436,A99999,27-05-2025,Credit,83152.52,NEFT
T000530,A99999,06-12-2025,Credit,86062.9,NEFT
T000540,A99999,12-01-2025,Credit,10690.13,IMPS
T000657,A99999,28-08-2025,Credit,71366.97,UPI
T000764,A99999,22-03-2026,Credit,53470.02,UPI
T000926,A99999,05-03-2026,Debit,94067.76,IMPS
T000942,A99999,26-08-2025,Credit,52685.72,UPI
T001017,A99999,03-08-2024,Debit,75365.78,UPI
T001054,A99999,12-07-2024,Credit,26504.47,ATM
T001073,A99999,04-08-2025,Debit,67803.15,ATM
T001078,A99999,12-09-2025,Debit,53970.43,UPI
T001108,A99999,24-02-2026,Credit,78118.22,ATM
T001113,A99999,08-10-2025,Debit,5438.58,NEFT
T001141,A99999,03-10-2024,Credit,-39172.56,UPI
T001144,A99999,12-05-2025,Debit,94822.3,IMPS
T001165,A99999,10-06-2025,Credit,6357.46,NEFT
T001190,A99999,31-10-2024,Credit,51769.68,NEFT
T001228,A99999,04-06-2024,Debit,30927.0,IMPS
T001333,A99999,27-10-2025,Credit,54028.72,IMPS
T001387,A99999,06-08-2025,Credit,90727.31,UPI
T001413,A99999,10-09-2024,Credit,49730.89,NEFT
T001517,A99999,07-12-2025,Debit,57912.21,NEFT
T001519,A99999,07-09-2024,Credit,72107.16,ATM
T001526,A99999,12-05-2024,Credit,80899.61,IMPS
T001569,A99999,25-02-2025,Credit,39823.56,NEFT
T001596,A99999,20-08-2024,Debit,12987.27,UPI
T001607,A99999,27-02-2025,Debit,29668.11,IMPS
T001627,A99999,18-09-2024,Credit,8976.79,NEFT
T001696,A99999,08-11-2024,Debit,51831.19,IMPS
T001705,A99999,23-01-2026,Credit,24986.1,NEFT
T001813,A99999,09-03-2025,Debit,68171.04,NEFT
T001841,A99999,08-08-2025,Credit,1107.4,ATM
T001940,A99999,29-08-2025,Debit,61567.4,ATM
T001955,A99999,04-02-2026,Debit,31384.51,ATM
T001980,A99999,28-06-2024,Debit,71494.15,UPI
T001981,A99999,02-12-2024,Credit,17647.68,IMPS
T002013,A99999,26-06-2025,Credit,51973.26,IMPS
T002024,A99999,12-02-2026,Debit,71079.05,NEFT
T002057,A99999,07-01-2026,Credit,17113.5,UPI
T002068,A99999,01-04-2026,Debit,81556.22,NEFT
T002090,A99999,11-11-2025,Credit,5961.89,IMPS
T002189,A99999,10-07-2025,Debit,33719.28,IMPS
T002352,A99999,20-05-2025,Credit,83141.72,IMPS
T002406,A99999,22-12-2024,Credit,15146.85,NEFT
T002466,A99999,27-11-2025,Debit,48346.67,NEFT
T002497,A99999,15-10-2024,Debit,44492.01,UPI
T002564,A99999,06-05-2024,Debit,85096.64,IMPS
T002584,A99999,18-06-2024,Credit,29519.61,NEFT
T002670,A99999,21-06-2025,Debit,27762.52,UPI
T002684,A99999,24-08-2024,Debit,96610.24,IMPS
T002758,A99999,15-11-2025,Credit,8006.14,UPI
T002761,A99999,12-10-2025,Debit,75208.07,NEFT
T002809,A99999,14-09-2024,Debit,89935.64,NEFT
T002936,A99999,18-02-2026,Debit,60053.52,IMPS
T002937,A99999,31-07-2025,Credit,66743.64,NEFT
T002948,A99999,15-11-2024,Credit,19263.84,UPI
T002949,A99999,05-10-2025,Debit,75241.25,NEFT
T002982,A99999,03-10-2024,Credit,65448.65,IMPS
T002987,A99999,26-01-2026,Debit,85876.22,IMPS
T003007,A99999,06-06-2024,Credit,87884.03,NEFT
T003018,A99999,28-02-2026,Credit,25809.57,UPI
T003075,A99999,07-04-2026,Debit,65787.65,IMPS
T003086,A99999,01-10-2024,Credit,21692.67,NEFT
T003254,A99999,22-06-2024,Debit,60704.16,UPI
T003330,A99999,11-11-2025,Debit,32063.39,IMPS
T003342,A99999,26-01-2025,Credit,22359.65,NEFT
T003348,A99999,23-07-2025,Credit,9861.78,UPI
T003370,A99999,29-12-2024,Credit,53017.98,ATM
T003397,A99999,02-11-2025,Credit,15632.42,UPI
T003472,A99999,04-11-2024,Credit,73342.67,IMPS
T003509,A99999,04-09-2024,Credit,20796.4,NEFT
T003738,A99999,19-09-2025,Debit,18964.83,ATM
T003750,A99999,09-07-2025,Credit,65512.9,UPI
T003843,A99999,08-11-2024,Debit,85656.44,ATM
T003851,A99999,16-02-2026,Credit,50358.4,ATM
T003857,A99999,17-12-2024,Credit,93406.73,UPI
T003942,A99999,23-04-2026,Credit,42898.85,NEFT
T003943,A99999,16-01-2025,Credit,7726.14,IMPS
T004056,A99999,21-12-2024,Debit,14632.62,ATM
T004096,A99999,26-09-2024,Credit,61402.75,IMPS
T004100,A99999,10-09-2025,Debit,91594.44,ATM
T004127,A99999,20-07-2025,Credit,84893.92,ATM
T004163,A99999,30-01-2026,Debit,66781.58,IMPS
T004244,A99999,12-03-2026,Credit,21895.61,IMPS
T004295,A99999,05-06-2025,Credit,58481.73,ATM
T004393,A99999,19-08-2025,Debit,29844.09,NEFT
T004437,A99999,03-10-2025,Debit,5174.85,IMPS
T004444,A99999,18-04-2025,Credit,6419.49,UPI
T004504,A99999,20-04-2026,Credit,18066.64,ATM
T004616,A99999,05-06-2025,Debit,80422.59,IMPS
T004657,A99999,17-03-2025,Debit,50715.33,UPI
T004760,A99999,18-11-2024,Debit,22054.72,NEFT
T004819,A99999,28-07-2024,Debit,34689.54,ATM
T004925,A99999,27-03-2026,Debit,27398.74,UPI
T004986,A99999,23-01-2026,Credit,23322.8,IMPS
T005072,A99999,05-10-2025,Credit,38882.72,ATM
T005194,A99999,18-12-2025,Debit,12057.83,IMPS
