account_id,customer_id,account_type,balance,status,opened_date,branch_id
A00065,C99999,Savings,162752.92,Active,25-09-2024,B048
A00102,C99999,Savings,253268.47,Active,20-11-2022,B000
A00141,C99999,Savings,8378.62,Closed,15-04-2025,B035
A00188,C99999,Savings,314285.7,Active,30-07-2023,B017
A00265,C99999,Savings,323920.57,Closed,11-02-2024,B030
A00370,C99999,Current,186730.58,Active,19-04-2024,B045
A00371,C99999,Savings,-321649.64,Active,13-06-2021,B000
A00431,C99999,Current,288487.21,Closed,17-09-2025,B047
A00480,C99999,Current,189577.04,Active,18-01-2024,B038
A00680,C99999,Current,475907.92,Closed,09-06-2021,B027
A00701,C99999,Current,339429.96,Closed,24-07-2023,B046
A00729,C99999,Savings,289902.57,Closed,22-09-2025,B002
A00739,C99999,Current,253043.5,Active,29-07-2022,B007
A00913,C99999,Current,90010.35,Closed,01-09-2025,B033
A01053,C99999,Current,-18522.29,Active,23-10-2023,B018
A01095,C99999,Current,252809.74,Closed,28-10-2025,B033
A01128,C99999,Savings,-388331.04,Active,15-05-2021,B007
A01130,C99999,Current,191612.61,Closed,07-09-2023,B049
A01174,C99999,Current,468815.78,Active,26-01-2026,B016
A01246,C99999,Savings,382714.78,Closed,21-06-2024,B014
A01301,C99999,Savings,125251.58,Active,25-06-2022,B002
A01310,C99999,Savings,152141.9,Closed,20-06-2025,B036
A01314,C99999,Current,145040.51,Active,30-12-2022,B019
A01372,C99999,Current,-223523.41,Active,13-12-2025,B011
A01412,C99999,Savings,378421.34,Active,02-08-2021,B007
A01559,C99999,Current,83777.98,Active,09-12-2021,B025
A01597,C99999,Current,184075.79,Closed,31-01-2022,B045
A01627,C99999,Current,385672.34,Closed,24-03-2023,B023
A01641,C99999,Current,41314.46,Active,28-06-2025,B010
A01651,C99999,Current,322699.28,Active,27-12-2022,B005
A01778,C99999,Savings,276068.19,Closed,09-10-2024,B002
A01786,C99999,Current,299353.63,Closed,20-04-2024,B032
A01813,C99999,Current,395030.51,Active,10-12-2023,B031
A01853,C99999,Savings,-443616.55,Active,21-09-2022,B015
A01866,C99999,Savings,454406.81,Closed,17-09-2025,B038
A01882,C99999,Current,496403.24,Active,13-06-2022,B049
A01914,C99999,Current,310130.29,Closed,23-12-2025,B018
A01941,C99999,Current,111506.35,Active,09-02-2023,B011
A01960,C99999,Savings,260666.26,Closed,11-10-2025,B021
A01962,C99999,Current,84241.68,Closed,17-07-2021,B044
A02118,C99999,Current,34530.73,Closed,27-05-2023,B024
A02147,C99999,Current,263135.02,Closed,25-04-2023,B047
A02207,C99999,Current,24600.32,Active,29-04-2023,B049
A02256,C99999,Current,155197.78,Closed,18-09-2021,B030
A02274,C99999,Current,433596.27,Active,10-01-2026,B003
A02306,C99999,Savings,268352.94,Closed,22-09-2021,B027
A02328,C99999,Current,201566.32,Closed,27-05-2022,B046
A02335,C99999,Current,255449.56,Closed,08-07-2025,B028
A02386,C99999,Current,420427.43,Closed,07-02-2025,B048
A02428,C99999,Current,29055.67,Active,12-02-2023,B005
A02456,C99999,Savings,218324.35,Closed,23-12-2022,B034
A02470,C99999,Current,89984.21,Closed,03-05-2021,B042
A02474,C99999,Current,324536.95,Active,03-03-2025,B034
A02499,C99999,Current,378671.21,Closed,25-08-2024,B006
A02511,C99999,Savings,496264.99,Active,22-02-2025,B023
A02517,C99999,Savings,119176.42,Closed,18-05-2023,B029
A02580,C99999,Savings,206140.23,Closed,31-03-2024,B011
A02593,C99999,Savings,187960.68,Active,02-12-2025,B013
A02677,C99999,Savings,457393.59,Active,09-10-2023,B010
A02735,C99999,Savings,468603.15,Closed,05-10-2024,B000
A02770,C99999,Savings,332939.41,Closed,03-02-2022,B021
A02775,C99999,Savings,276228.13,Closed,05-10-2022,B008
A02799,C99999,Current,30748.63,Closed,22-04-2022,B038
A02801,C99999,Savings,240420.76,Closed,18-05-2021,B027
A02921,C99999,Savings,8613.36,Active,09-09-2023,B041
A02941,C99999,Savings,405860.33,Active,13-10-2024,B013
A02988,C99999,Savings,336478.05,Closed,02-10-2025,B030
A03033,C99999,Current,-239714.65,Closed,16-02-2026,B026
A03045,C99999,Current,463490.46,Active,19-05-2021,B021
A03135,C99999,Savings,270432.71,Closed,21-08-2023,B039
A03205,C99999,Current,5976.3,Active,31-01-2026,B021
A03219,C99999,Current,216582.92,Active,07-01-2023,B013
A03240,C99999,Savings,293740.44,Closed,22-03-2025,B036
A03353,C99999,Current,112317.72,Closed,30-07-2023,B036
A03374,C99999,Current,298182.28,Closed,26-05-2021,B010
A03430,C99999,Savings,236986.1,Active,25-11-2022,B009
A03439,C99999,Savings,96804.84,Closed,19-01-2025,B032
A03440,C99999,Savings,159692.92,Active,27-12-2023,B033
A03523,C99999,Current,62257.95,Active,18-01-2023,B003
A03651,C99999,Current,17962.73,Active,26-09-2022,B040
A03679,C99999,Savings,28147.03,Active,07-02-2024,B026
A03689,C99999,Current,310257.06,Active,14-09-2023,B005
A03731,C99999,Savings,-452618.46,Active,13-02-2023,B006
A03767,C99999,Savings,99982.89,Active,30-08-2023,B040
A03778,C99999,Savings,358373.88,Closed,15-03-2024,B034
A03794,C99999,Current,320920.47,Closed,14-11-2021,B036
A03865,C99999,Savings,259207.96,Active,28-05-2022,B030
A03969,C99999,Current,41671.62,Closed,25-10-2021,B005
A04054,C99999,Savings,127370.12,Closed,20-04-2026,B027
A04067,C99999,Savings,147483.64,Active,02-09-2021,B001
A04069,C99999,Current,479828.41,Closed,17-09-2024,B032
A04115,C99999,Current,294830.67,Closed,07-03-2023,B013
A04126,C99999,Current,84069.75,Closed,18-06-2023,B000
A04180,C99999,Current,301727.49,Active,10-06-2025,B011
A04200,C99999,Savings,122431.53,Closed,01-06-2021,B007
A04228,C99999,Current,454515.0,Active,20-04-2026,B024
A04271,C99999,Current,436563.88,Active,11-07-2022,B044
A04358,C99999,Savings,16712.27,Closed,13-08-2022,B021
A04388,C99999,Savings,274829.39,Active,26-11-2021,B047
A04467,C99999,Current,28360.8,Active,16-10-2025,B029
A04505,C99999,Current,78966.09,Closed,10-06-2023,B045
A04560,C99999,Savings,147566.87,Active,10-09-2025,B021
A04569,C99999,Savings,306088.47,Closed,17-03-2025,B028
A04578,C99999,Current,417937.0,Active,19-08-2025,B048
A04617,C99999,Current,150968.52,Active,04-03-2024,B039
A04627,C99999,Current,84186.49,Closed,03-12-2022,B033
A04633,C99999,Current,130514.71,Closed,18-12-2021,B015
A04640,C99999,Savings,112679.13,Active,02-09-2022,B009
A04661,C99999,Savings,71775.0,Closed,28-06-2022,B006
A04697,C99999,Savings,33918.79,Closed,19-10-2023,B017
A04738,C99999,Savings,405958.21,Active,15-02-2023,B021
A04746,C99999,Savings,382532.29,Active,22-11-2025,B025
A04829,C99999,Current,140608.35,Closed,10-09-2021,B042
A04872,C99999,Current,192159.54,Closed,13-09-2021,B030
A04886,C99999,Current,363244.57,Active,24-05-2021,B019
A04928,C99999,Current,96833.26,Closed,07-12-2021,B015
A04935,C99999,Savings,466620.34,Closed,14-01-2022,B037
A04960,C99999,Savings,64875.94,Closed,28-02-2023,B035
A04964,C99999,Savings,315948.42,Active,16-01-2026,B018
A05017,C99999,Savings,421889.09,Active,25-08-2022,B046
A05084,C99999,Savings,144846.18,Closed,14-12-2023,B009
A05091,C99999,Savings,333265.38,Active,29-08-2022,B020
A05156,C99999,Current,188197.24,Closed,12-07-2023,B037
A05158,C99999,Savings,135960.75,Active,20-11-2024,B037
A05180,C99999,Current,6053.33,Active,02-06-2022,B032
A05339,C99999,Savings,204204.9,Active,04-02-2024,B035
A05363,C99999,Savings,490010.62,Active,09-12-2021,B012
A05377,C99999,Current,100510.64,Closed,22-06-2022,B006
A05442,C99999,Current,55628.46,Active,12-01-2026,B015
A05498,C99999,Current,433075.04,Active,11-07-2022,B019
A05524,C99999,Current,17738.22,Closed,14-11-2021,B034
A05669,C99999,Savings,284092.29,Closed,28-07-2021,B009
A05686,C99999,Current,488699.11,Closed,27-07-2025,B004
A05964,C99999,Current,407464.91,Closed,09-06-2024,B040
A05972,C99999,Savings,262045.24,Active,10-05-2025,B029
A06015,C99999,Savings,422449.81,Active,14-04-2026,B036
A06089,C99999,Savings,303989.16,Active,11-07-2025,B031
A06132,C99999,Savings,-260899.22,Active,10-03-2022,B041
A06310,C99999,Current,382844.0,Closed,02-05-2021,B046
A06443,C99999,Savings,476459.67,Closed,20-11-2025,B031
A06463,C99999,Current,186123.39,Active,24-04-2024,B020
A06506,C99999,Current,333091.39,Active,17-06-2025,B034
A06574,C99999,Current,227368.45,Closed,16-03-2022,B020
A06593,C99999,Current,465923.81,Closed,12-08-2023,B014
A06776,C99999,Savings,27238.77,Closed,18-05-2023,B032
A06788,C99999,Savings,121278.97,Closed,12-08-2021,B031
A06895,C99999,Current,342332.56,Active,17-08-2022,B031
A06908,C99999,Savings,369900.59,Closed,20-08-2024,B040
A06914,C99999,Savings,409828.15,Active,09-02-2023,B009
A06950,C99999,Savings,210879.24,Active,22-08-2021,B030
A07025,C99999,Savings,242488.93,Active,20-12-2023,B004
A07075,C99999,Current,143432.44,Active,20-03-2022,B015
A07090,C99999,Savings,342172.77,Closed,01-06-2024,B008
A07138,C99999,Current,186864.26,Closed,06-05-2023,B019
A07252,C99999,Savings,254115.94,Active,19-09-2021,B026
A07264,C99999,Current,229517.16,Closed,25-07-2024,B006
A07287,C99999,Savings,8205.39,Closed,14-10-2022,B029
A07302,C99999,Current,488681.7,Closed,24-09-2025,B036
A07392,C99999,Current,390139.33,Closed,20-11-2025,B038
A07428,C99999,Savings,174094.26,Active,19-05-2025,B003
