customer_id,loan_amount,balance
C06768,3440143.03,19699.63
C06768,3440143.03,114473.08
C06768,3440143.03,148221.2
C03642,3959190.03,61959.92
C03642,3959190.03,329006.37
C08891,1122980.74,35932.94
C10580,3929925.06,377141.64
C04474,2846164.63,160145.59
C09593,3835248.12,231259.37
C03199,3931695.78,25293.0
C05373,4808887.61,-267225.13
C07167,3372650.0,17376.18
C05497,4013208.5,214371.75
C09407,3537343.79,-129837.55
C09407,3537343.79,254204.89
C09407,3537343.79,348355.78
C06946,4840701.73,6947.58
C06946,4840701.73,446621.31
C10489,2407349.81,16331.12
C10489,2407349.81,195301.79
C08328,2814541.94,118878.6
C08328,2814541.94,121954.88
C00269,3891896.97,45797.32
C00269,3891896.97,290323.8
C11942,2936920.95,167028.44
C05615,3482121.22,265018.71
C01493,835635.97,-373105.84
C01493,835635.97,37091.9
C09562,3874268.04,66585.59
C09562,3874268.04,258984.67
C01841,4920872.68,246291.4
C11962,4135993.26,-388230.88
C04459,648768.37,38855.63
C07785,4370495.37,153290.83
C07961,1821580.04,170779.23
C10952,4063403.38,5105.4
C10952,4063403.38,244086.25
C00937,1044211.68,57631.1
C00937,1044211.68,91479.22
C04203,2820845.89,-119718.81
C04203,2820845.89,278183.99
C06047,436653.79,-405702.35
C06047,436653.79,4377.41
C06593,3354449.47,37131.92
C08368,4069225.61,182268.14
C11822,4239276.15,267491.48
C02158,1277801.12,38305.78
C11044,2333896.8,218035.27
C01734,2002165.03,83904.18
C07106,3169789.77,235326.29
C01593,2480163.99,34567.72
C05345,2731792.61,32653.42
C03199,2634139.95,25293.0
C01402,2199023.89,36124.58
C01643,4615489.38,371190.68
C04811,2239130.99,134962.57
C08199,4261479.07,209701.89
C08199,4261479.07,332622.56
C08199,4261479.07,390747.26
C08199,4261479.07,420156.35
C07824,2635497.86,181682.09
C02118,3417037.72,39367.78
C09468,3352700.54,71885.28
C03252,3239468.05,282375.93
C06781,2603697.24,69144.42
C05364,1944660.81,-27587.62
C05364,1944660.81,21159.33
C11567,3728400.28,322999.73
C06633,3343641.21,38429.29
C06011,3233154.39,224831.5
C06374,4709236.44,146474.21
C06374,4709236.44,332162.49
C05753,2344477.07,63704.94
C06393,4185703.83,1534.23
C10205,4414647.42,356487.2
C10205,4414647.42,375319.71
C10778,4801260.98,101946.16
C03426,3332055.09,179374.34
C06630,3365742.37,-35373.88
C06630,3365742.37,124749.74
C09085,3488834.88,16578.57
C08488,3607377.06,78416.37
C08488,3607377.06,266786.87
C10691,3124745.59,42717.38
