loan_id,customer_id,loan_type,loan_amount,interest_rate,start_date,status
L00000,C06768,Car,3440143.03,9.97,27-11-2025,Closed
L00001,C03642,Personal,3959190.03,12.92,19-08-2024,Closed
L00002,C08891,Home,1122980.74,14.55,24-04-2025,Closed
L00003,C10580,Home,3929925.06,11.74,16-07-2024,Active
L00004,C08482,Personal,1514995.8,7.22,26-08-2021,Closed
L00005,C08703,Home,1332116.02,7.62,01-04-2023,Active
L00006,C03085,Personal,3387316.86,7.89,30-04-2024,Active
L00007,C04961,Home,2167622.67,7.18,28-04-2021,Closed
L00008,C04474,Personal,2846164.63,14.9,19-04-2026,Active
L00009,C09593,Personal,3835248.12,9.63,27-01-2025,Closed
L00010,C07819,Car,1138607.41,7.55,01-09-2021,Active
L00011,C08697,Home,91715.18,11.44,19-05-2024,Active
L00012,C03199,Home,3931695.78,11.69,19-09-2023,Active
L00013,C05373,Personal,4808887.61,9.72,04-04-2023,Active
L00014,C00107,Car,4925392.37,8.43,20-10-2025,Active
L00015,C02209,Car,641472.1,14.09,24-07-2023,Closed
L00016,C10756,Car,231066.77,8.49,14-10-2025,Active
L00017,C07167,Personal,3372650,8.14,13-04-2024,Active
L00018,C02313,Personal,2594084.19,14.87,27-11-2021,Active
L00019,C03774,Personal,2490912.22,9.08,29-01-2025,Closed
L00020,C05497,Car,4013208.5,8.75,03-01-2023,Active
L00021,C00857,Home,2882049.71,9.12,22-09-2021,Active
L00022,C11288,Personal,927876.31,9.05,22-08-2023,Closed
L00023,C02734,Car,4245625.5,11.21,02-10-2025,Closed
L00024,C03802,Personal,176090.49,7.48,30-08-2022,Active
L00025,C06259,Home,936436.26,13.93,23-07-2025,Active
L00026,C06513,Home,4566373.18,9.08,27-07-2024,Active
L00027,C07871,Home,1262169.32,12.4,19-03-2026,Active
L00028,C03760,Home,471120.48,11.63,22-09-2021,Closed
L00029,C03881,Personal,1017260.92,14.13,22-08-2023,Closed
L00030,C09407,Personal,3537343.79,7.23,12-05-2022,Closed
L00031,C06946,Personal,4840701.73,7.52,21-05-2025,Active
L00032,C04151,Personal,685846.01,9.69,09-11-2021,Closed
L00033,C07263,Home,1476531.27,11.2,14-06-2024,Active
L00034,C00980,Personal,3128533.26,10.68,01-07-2023,Active
L00035,C10489,Home,2407349.81,7.1,30-03-2025,Closed
L00036,C08328,Car,2814541.94,14.77,28-12-2023,Active
L00037,C00269,Home,3891896.97,7.64,25-09-2023,Active
L00038,C11942,Home,2936920.95,13.21,04-07-2022,Closed
L00039,C00227,Personal,-3509182.86,10.47,12-09-2024,Active
L00040,C05615,Car,3482121.22,13.46,26-09-2022,Active
L00041,C08200,Home,3596766.22,9.35,09-05-2025,Closed
L00042,C05563,Home,1937333.67,14.52,27-09-2022,Closed
L00043,C08695,Car,1050741.99,9.27,28-07-2025,Active
L00044,C01493,Home,835635.97,8.21,05-07-2024,Active
L00045,C09562,Home,3874268.04,11.75,04-11-2023,Closed
L00046,C08721,Personal,2931597.46,9.73,19-09-2024,Active
L00047,C01841,Home,4920872.68,9.56,06-07-2021,Closed
L00048,C02506,Personal,1817652.7,13.58,04-11-2021,Closed
L00049,C11962,Car,4135993.26,9.64,01-05-2024,Active
L00050,C09800,Home,991196.05,7.19,05-08-2025,Closed
L00051,C04459,Home,648768.37,8.53,22-10-2025,Closed
L00052,C07773,Personal,-2848971.46,12.64,19-11-2022,Closed
L00053,C09464,Car,1689169.64,14.67,15-01-2023,Closed
L00054,C00662,Home,3071627.92,12.35,03-04-2026,Active
L00055,C05144,Personal,-4468778.62,9.12,14-08-2021,Closed
L00056,C01743,Car,2937567.7,10.57,17-11-2021,Active
L00057,C07785,Personal,4370495.37,12.58,11-08-2023,Closed
L00058,C07961,Personal,1821580.04,7.71,14-11-2025,Active
L00059,C10952,Home,4063403.38,7.79,13-09-2021,Closed
L00060,C00937,Personal,1044211.68,14.44,04-09-2021,Active
L00061,C04203,Car,2820845.89,13.17,23-03-2024,Active
L00062,C06047,Personal,436653.79,13.33,11-05-2022,Closed
L00063,C00294,Car,4249930.94,7.62,16-02-2023,Active
L00064,C05900,Car,2679758.8,12.86,19-02-2022,Closed
L00065,C06593,Personal,3354449.47,12.59,09-05-2023,Active
L00066,C08368,Home,4069225.61,12.82,02-09-2023,Closed
L00067,C11822,Personal,4239276.15,13.65,11-08-2024,Closed
L00068,C09251,Home,4845956.32,12.76,02-02-2024,Closed
L00069,C02158,Home,1277801.12,7.89,06-06-2022,Active
L00070,C11044,Car,2333896.8,12.29,11-02-2024,Closed
L00071,C01734,Car,2002165.03,12.13,26-04-2024,Active
L00072,C07106,Home,3169789.77,11.01,05-05-2023,Closed
L00073,C08097,Personal,3547741.81,8.97,17-11-2022,Active
L00074,C04801,Car,3264408.13,12.65,07-01-2026,Active
L00075,C07419,Home,1732110.62,13.59,03-01-2024,Active
L00076,C11778,Personal,2214433.15,14.4,13-12-2023,Closed
L00077,C06163,Car,994374.81,11.08,15-09-2022,Active
L00078,C01593,Car,2480163.99,11.09,29-07-2022,Active
L00079,C05345,Personal,2731792.61,13.55,09-03-2024,Active
L00080,C03199,Car,2634139.95,11.71,22-05-2025,Active
L00081,C01097,Personal,3389386.88,14.51,16-09-2025,Closed
L00082,C01402,Personal,2199023.89,11.24,26-09-2023,Active
L00083,C01643,Car,4615489.38,8.7,13-01-2026,Closed
L00084,C09224,Home,1056200.18,8.31,06-09-2022,Closed
L00085,C04811,Home,2239130.99,14.05,27-10-2022,Closed
L00086,C08199,Home,4261479.07,7.42,02-01-2025,Active
L00087,C07824,Car,2635497.86,12.98,13-10-2025,Active
L00088,C01946,Home,1034842.45,12.33,10-06-2025,Closed
L00089,C00507,Home,2841198.22,14.64,19-02-2024,Active
L00090,C02118,Home,3417037.72,8.4,12-12-2023,Active
L00091,C09468,Personal,3352700.54,9.56,24-08-2023,Active
L00092,C05531,Personal,1604052.31,9.42,16-03-2023,Closed
L00093,C07037,Home,3956061.69,9.02,16-09-2021,Active
L00094,C03252,Home,3239468.05,13.32,26-02-2024,Active
L00095,C01695,Home,867648.41,14.27,16-03-2025,Closed
L00096,C00734,Personal,52801.36,13.21,13-06-2024,Active
L00097,C06781,Personal,2603697.24,7.97,23-04-2022,Active
L00098,C00362,Personal,507897.58,14.78,29-04-2024,Active
L00099,C05364,Home,1944660.81,9,26-08-2023,Active
L00100,C07646,Personal,2143319.01,14.66,06-02-2026,Closed
L00101,C11567,Car,3728400.28,11.21,07-11-2025,Closed
L00102,C08731,Personal,2682628.98,10.97,04-06-2021,Active
L00103,C02960,Car,2275780.39,10.13,04-08-2021,Active
L00104,C03652,Home,3933957.45,9.4,20-03-2024,Closed
L00105,C06633,Car,3343641.21,13.36,13-11-2023,Active
L00106,C01656,Car,1400517.6,13.26,12-03-2026,Active
L00107,C06011,Personal,3233154.39,7.48,31-05-2021,Active
L00108,C06374,Car,4709236.44,8.32,25-07-2024,Closed
L00109,C05753,Personal,2344477.07,8.58,07-08-2025,Active
L00110,C02291,Personal,3647582.45,12.36,13-12-2022,Active
L00111,C06393,Car,4185703.83,11.28,29-11-2023,Closed
L00112,C06479,Car,4374783.06,10.76,11-12-2024,Active
L00113,C02498,Personal,1683397.73,7.55,16-08-2022,Active
L00114,C01477,Car,3003546.85,8.72,28-05-2023,Closed
L00115,C10205,Home,4414647.42,9.83,15-08-2021,Active
L00116,C10778,Home,4801260.98,13.79,27-07-2023,Closed
L00117,C03426,Car,3332055.09,12.42,08-03-2026,Closed
L00118,C06630,Car,3365742.37,14.32,01-10-2021,Active
L00119,C08216,Car,4913458.25,9.82,21-03-2026,Closed
L00120,C09085,Personal,3488834.88,13.35,24-10-2025,Active
L00121,C08488,Home,3607377.06,14.28,30-11-2023,Closed
L00122,C10691,Car,3124745.59,7.15,05-07-2024,Closed
L00123,C04190,Car,1737962.65,8.99,05-03-2022,Closed
L00124,C06725,Home,3121322.27,13.61,06-08-2022,Closed
L00125,C00780,Personal,876453.19,12.77,30-09-2022,Closed
L00126,C08705,Car,2527195.8,14.8,05-12-2024,Active
L00127,C07268,Home,2023448.15,10.48,27-11-2024,Active
L00128,C07746,Home,3840750.77,7.51,17-09-2021,Closed
L00129,C07850,Car,4424072.9,13.27,12-12-2023,Active
L00130,C06737,Personal,2739517.38,7.16,13-04-2025,Active
L00131,C03832,Car,627011.47,10.14,25-11-2024,Closed
L00132,C08087,Home,4395053.13,14.77,13-03-2025,Closed
L00133,C02663,Car,3334583.51,11.14,09-07-2021,Active
L00134,C03692,Personal,3755159.11,7.16,29-07-2023,Closed
L00135,C00557,Home,86517.73,8.64,13-03-2022,Active
