txn_id,account_id,txn_date,txn_type,amount,channel
T000000,A05191,19-04-2025,Debit,34304.17,IMPS
T000001,A08954,25-01-2026,Credit,91549.26,NEFT
T000002,A00955,09-02-2025,Debit,92980.31,ATM
T000003,A05139,29-03-2026,Credit,47040.81,UPI
T000004,A14418,23-09-2024,Debit,77863.66,IMPS
T000005,A13798,15-12-2025,Credit,76466.4,UPI
T000006,A01484,03-11-2025,Credit,26856.77,ATM
T000007,A06843,24-12-2025,Credit,53589.72,UPI
T000008,A14262,17-03-2026,Debit,38332.7,NEFT
T000009,A11839,25-09-2024,Credit,45694.9,UPI
T000010,A13403,13-03-2026,Debit,86311.85,NEFT
T000011,A00444,08-11-2025,Credit,69578.26,UPI
T000012,A02089,07-08-2024,Debit,57614.56,NEFT
T000013,A08590,01-09-2025,Debit,29239.18,NEFT
T000014,A03309,27-09-2024,Credit,36864.75,NEFT
T000015,A11249,02-04-2025,Debit,33590.9,IMPS
T000016,A01381,04-11-2025,Debit,19713.68,NEFT
T000017,A02385,26-12-2025,Credit,36269.21,ATM
T000018,A07101,11-09-2025,Debit,47130.72,UPI
T000019,A05261,31-03-2025,Debit,72392.71,ATM
T000020,A08867,01-05-2025,Credit,43286.09,IMPS
T000021,A06986,18-05-2025,Credit,39535.72,UPI
T000022,A14149,10-01-2025,Credit,66000.56,UPI
T000023,A12630,03-11-2024,Credit,46609.42,ATM
T000024,A02021,10-12-2024,Debit,37205.11,NEFT
T000025,A14048,31-03-2025,Credit,34785.09,ATM
T000026,A10040,02-06-2024,Credit,10936.37,IMPS
T000027,A00406,10-11-2024,Credit,10811.68,UPI
T000028,A05806,31-05-2024,Credit,5310.53,NEFT
T000029,A05560,29-11-2024,Debit,-75401.15,ATM
T000030,A03240,18-03-2026,Debit,24015.93,IMPS
T000031,A10198,21-11-2025,Debit,59903.93,UPI
T000032,A09394,24-10-2024,Credit,32091.19,ATM
T000033,A13469,05-08-2024,Credit,-8084.45,IMPS
T000034,A13069,06-06-2025,Debit,39124.81,NEFT
T000035,A00598,13-04-2026,Credit,46615.3,NEFT
T000036,A14586,03-04-2025,Credit,40323.75,UPI
T000037,A11273,13-05-2024,Credit,51535.71,NEFT
T000038,A05474,07-04-2025,Debit,53818.6,UPI
T000039,A09917,09-04-2025,Debit,24580.06,ATM
T000040,A01994,18-06-2025,Credit,20292.89,IMPS
T000041,A06345,15-05-2024,Debit,60339.66,ATM
T000042,A05898,30-09-2025,Debit,6323.71,UPI
T000043,A00424,18-11-2024,Credit,44939.18,NEFT
T000044,A07940,26-01-2025,Credit,45065.93,ATM
T000045,A07720,23-02-2026,Debit,55518.62,IMPS
T000046,A05082,04-06-2024,Debit,61496.28,UPI
T000047,A99999,06-09-2024,Credit,96305.99,IMPS
T000048,A01266,05-11-2025,Credit,51100.18,NEFT
T000049,A04746,11-08-2024,Credit,51871.42,IMPS
T000050,A01906,18-03-2026,Credit,70264.31,IMPS
T000051,A12276,04-12-2024,Credit,93338.47,IMPS
T000052,A04512,02-12-2024,Debit,22022.89,ATM
T000053,A04901,27-04-2026,Debit,83591.82,IMPS
T000054,A04429,12-02-2026,Credit,62414.45,UPI
T000055,A01713,29-11-2025,Debit,2422.63,NEFT
T000056,A01705,07-04-2026,Debit,-48297.86,ATM
T000057,A07312,03-08-2024,Credit,14140.41,UPI
T000058,A06810,01-05-2025,Credit,63078.31,ATM
T000059,A11796,13-10-2024,Credit,37146.84,IMPS
T000060,A00116,25-10-2025,Credit,95774.85,NEFT
T000061,A09983,24-08-2025,Credit,58422.52,NEFT
T000062,A12507,14-12-2025,Debit,5924.47,UPI
T000063,A05412,11-10-2024,Credit,30573.45,UPI
T000064,A09238,30-09-2024,Credit,80969.55,UPI
T000065,A00565,21-12-2024,Debit,7945.72,ATM
T000066,A07773,22-10-2025,Debit,50190.64,NEFT
T000067,A11634,09-09-2025,Credit,34858.64,ATM
T000068,A08676,26-12-2024,Debit,56067.7,NEFT
T000069,A01558,18-11-2025,Credit,81986.37,NEFT
T000070,A03276,23-07-2024,Credit,91491.33,NEFT
T000071,A14102,22-04-2026,Debit,12301.05,IMPS
T000072,A13935,21-09-2024,Debit,16410.66,UPI
T000073,A10587,12-02-2026,Debit,11196.55,ATM
T000074,A11963,13-08-2024,Debit,30121.83,ATM
T000075,A06692,25-03-2025,Credit,6214.39,UPI
T000076,A00574,14-07-2025,Credit,31211.43,ATM
T000077,A11412,08-09-2025,Debit,47443.72,IMPS
T000078,A10877,14-06-2025,Debit,13578.43,IMPS
T000079,A07549,02-05-2025,Credit,83950.26,UPI
T000080,A08987,24-02-2026,Debit,31354.15,NEFT
T000081,A14836,23-11-2025,Debit,36940.19,ATM
T000082,A14945,10-02-2025,Credit,71953.66,IMPS
T000083,A11547,25-07-2024,Credit,36988.37,NEFT
T000084,A06377,01-03-2026,Credit,5311.65,NEFT
T000085,A07938,07-04-2025,Debit,17978.17,NEFT
T000086,A03513,01-11-2024,Credit,10756.65,IMPS
T000087,A10676,19-06-2024,Credit,60609.55,NEFT
T000088,A14865,23-01-2025,Credit,32899.63,NEFT
T000089,A06240,01-12-2025,Credit,82916.21,NEFT
T000090,A05506,07-03-2025,Credit,6679.26,ATM
T000091,A06668,18-07-2024,Credit,48419.89,ATM
T000092,A09765,28-12-2025,Debit,33105.09,UPI
T000093,A04700,01-03-2025,Credit,74238.61,IMPS
T000094,A03968,30-10-2025,Debit,259.78,NEFT
T000095,A04518,18-04-2025,Debit,39755.29,ATM
T000096,A07268,29-09-2025,Debit,81922.31,IMPS
T000097,A01378,23-10-2025,Credit,93164.21,ATM
T000098,A08733,17-12-2024,Credit,88008.33,NEFT
T000099,A01659,09-10-2024,Credit,93394.93,IMPS
T000100,A09647,30-07-2025,Debit,58253.59,ATM
T000101,A08131,05-05-2025,Debit,49549.45,NEFT
T000102,A09841,03-03-2025,Debit,38835.63,ATM
T000103,A13816,19-04-2026,Debit,88106.33,IMPS
T000104,A03248,28-03-2025,Debit,89307.71,ATM
T000105,A01882,10-11-2024,Credit,28972.82,NEFT
T000106,A05383,11-01-2025,Debit,70664.27,ATM
T000107,A06271,02-02-2026,Credit,43071.12,IMPS
T000108,A03355,07-06-2024,Debit,39758.85,UPI
T000109,A07342,20-01-2026,Debit,79492.53,NEFT
T000110,A12603,17-08-2025,Credit,5259.16,ATM
T000111,A06196,11-10-2024,Credit,12981.13,ATM
T000112,A05937,20-07-2024,Debit,23854.62,NEFT
T000113,A04179,14-11-2025,Credit,44177.96,NEFT
T000114,A02192,16-06-2024,Debit,61009.17,ATM
T000115,A07311,21-12-2024,Credit,38704.48,ATM
T000116,A04544,09-12-2024,Debit,76021.87,UPI
T000117,A02459,21-12-2025,Credit,75483.87,IMPS
T000118,A99999,07-10-2025,Credit,93976.27,ATM
T000119,A13885,15-09-2024,Credit,62470.92,UPI
T000120,A01477,03-07-2025,Debit,5289.66,ATM
T000121,A09128,10-05-2025,Debit,3330.93,NEFT
T000122,A06419,23-05-2025,Credit,2796.53,UPI
T000123,A06980,28-09-2025,Debit,69181.59,IMPS
T000124,A08616,13-11-2025,Debit,59811.13,IMPS
T000125,A09084,06-05-2025,Credit,74244.69,NEFT
T000126,A02269,08-01-2026,Credit,87924.36,IMPS
T000127,A12864,15-01-2025,Debit,4713.39,IMPS
T000128,A07112,11-09-2025,Debit,9017.39,IMPS
T000129,A05191,09-05-2025,Debit,6697.47,IMPS
T000130,A00127,06-08-2024,Credit,90474.71,UPI
T000131,A13498,30-04-2025,Debit,26728.52,IMPS
T000132,A11951,12-04-2026,Credit,11203.06,IMPS
T000133,A14722,08-09-2025,Credit,32965.37,NEFT
T000134,A01707,09-03-2025,Credit,50069.21,NEFT
T000135,A02661,13-03-2026,Credit,65799.85,IMPS
T000136,A03552,16-06-2025,Credit,74664.94,ATM
T000137,A12879,25-04-2025,Debit,33457.61,NEFT
T000138,A08455,07-03-2026,Debit,83221.73,IMPS
T000139,A01768,10-12-2025,Debit,40955.45,NEFT
T000140,A04317,09-02-2026,Debit,18711.1,IMPS
T000141,A00882,06-10-2024,Debit,2306.87,IMPS
T000142,A03000,11-05-2024,Credit,69378.96,IMPS
T000143,A06075,08-08-2025,Debit,92609.55,ATM
T000144,A12463,21-05-2024,Debit,21529.74,UPI
T000145,A13806,22-09-2024,Credit,47485.47,NEFT
T000146,A14643,26-11-2025,Debit,62556.18,NEFT
T000147,A11313,08-02-2025,Debit,29565.77,UPI
T000148,A06109,17-04-2025,Debit,22051.15,NEFT
T000149,A14887,07-07-2024,Credit,47665.76,IMPS
T000150,A02631,23-01-2026,Debit,50637.79,IMPS
T000151,A00174,24-09-2024,Debit,6070.38,IMPS
T000152,A08416,13-08-2025,Credit,38116.68,UPI
T000153,A07575,08-08-2024,Debit,64522.47,ATM
T000154,A01711,16-07-2025,Debit,21959.61,UPI
T000155,A05186,14-06-2025,Debit,68612.29,UPI
T000156,A14422,09-08-2024,Debit,43793.51,IMPS
T000157,A13057,23-07-2025,Credit,91967.66,UPI
T000158,A06385,28-10-2024,Debit,19366.32,ATM
T000159,A03130,27-09-2024,Credit,85746.83,ATM
T000160,A14177,17-06-2025,Debit,52195.32,UPI
T000161,A03459,06-09-2025,Debit,59833.5,UPI
T000162,A12498,29-10-2025,Credit,12993.39,NEFT
T000163,A14770,15-12-2025,Debit,93839.67,ATM
T000164,A12316,22-08-2024,Debit,65467.28,ATM
T000165,A11495,23-07-2025,Credit,98992.31,ATM
T000166,A10591,14-02-2026,Debit,33199.02,NEFT
T000167,A14649,02-08-2024,Debit,51316.68,NEFT
T000168,A00966,27-12-2024,Credit,31485.21,ATM
T000169,A11515,24-04-2025,Credit,34058.43,UPI
T000170,A09192,15-10-2024,Debit,22334.42,UPI
T000171,A01695,17-01-2025,Debit,24593.47,ATM
T000172,A04648,20-05-2024,Debit,38389.83,ATM
T000173,A12994,22-10-2025,Debit,2077.99,UPI
T000174,A04283,11-03-2025,Credit,36708.3,NEFT
T000175,A12346,01-08-2025,Credit,46720.94,UPI
T000176,A07839,08-02-2026,Debit,51625.33,ATM
T000177,A12273,04-09-2024,Debit,4927.67,IMPS
T000178,A08276,16-05-2025,Credit,62181.38,NEFT
T000179,A10932,12-04-2026,Debit,40274.31,IMPS
T000180,A03763,23-11-2025,Credit,87571.14,ATM
T000181,A06795,29-04-2024,Debit,40198.66,NEFT
T000182,A10571,13-01-2025,Debit,43098.98,ATM
T000183,A09049,01-11-2024,Debit,11119.9,ATM
T000184,A12492,21-07-2025,Credit,48974.18,IMPS
T000185,A09048,02-03-2025,Credit,99600.27,IMPS
T000186,A02863,26-02-2025,Debit,75677.95,UPI
T000187,A12368,17-05-2025,Credit,20242.45,UPI
T000188,A01349,22-05-2025,Debit,-53196.78,ATM
T000189,A06042,30-04-2024,Debit,76711.7,ATM
T000190,A06815,12-02-2025,Debit,81033.27,UPI
T000191,A00699,25-06-2025,Debit,10586.54,NEFT
T000192,A01212,05-06-2024,Debit,32700.53,ATM
T000193,A06416,13-04-2025,Debit,50990.47,ATM
T000194,A08170,12-02-2025,Debit,99304,IMPS
T000195,A07322,06-04-2026,Credit,96252.07,NEFT
T000196,A13612,22-04-2025,Debit,884.53,IMPS
T000197,A13482,10-11-2025,Debit,3841.46,IMPS
T000198,A03573,03-08-2024,Credit,38449.49,IMPS
T000199,A03176,02-04-2026,Debit,63689.07,NEFT
T000200,A07300,12-11-2025,Credit,20926.26,ATM
T000201,A09614,05-11-2024,Credit,46290.58,UPI
T000202,A13324,06-02-2025,Debit,58574.55,UPI
T000203,A07625,30-07-2025,Debit,54505.39,UPI
T000204,A09292,25-06-2024,Debit,18249.17,IMPS
T000205,A14423,20-11-2025,Debit,49094.99,IMPS
T000206,A05418,28-09-2024,Credit,40133.12,ATM
T000207,A13943,14-09-2025,Debit,74606.73,IMPS
T000208,A07656,22-04-2026,Credit,78921.87,UPI
T000209,A01118,07-10-2025,Credit,97301.94,UPI
T000210,A09185,16-10-2025,Debit,21566.04,ATM
T000211,A12381,17-09-2024,Credit,5760.12,UPI
T000212,A05505,18-05-2024,Credit,46817.85,NEFT
T000213,A13031,25-07-2024,Debit,17957.45,NEFT
T000214,A09699,24-12-2025,Debit,80749.3,UPI
T000215,A03243,13-12-2024,Debit,82381.66,IMPS
T000216,A13839,06-04-2025,Credit,13580.57,ATM
T000217,A11100,14-10-2024,Debit,28954.75,IMPS
T000218,A10721,23-01-2025,Debit,9224.62,ATM
T000219,A09470,20-05-2024,Credit,73178.21,NEFT
T000220,A02713,18-08-2024,Credit,56503.5,IMPS
T000221,A13210,27-10-2024,Credit,63933.71,UPI
T000222,A08661,03-10-2025,Debit,8440.85,ATM
T000223,A01619,04-08-2024,Debit,11537.68,IMPS
T000224,A00029,24-01-2026,Debit,6548.92,UPI
T000225,A09529,21-02-2026,Debit,7892.02,IMPS
T000226,A02197,11-04-2026,Debit,44131.5,ATM
T000227,A10016,17-03-2025,Debit,15289.87,IMPS
T000228,A14560,13-03-2025,Debit,60216.97,ATM
T000229,A13135,06-06-2025,Credit,7386.13,ATM
T000230,A02785,10-10-2025,Credit,65146.13,IMPS
T000231,A07827,01-05-2025,Debit,33291.91,IMPS
T000232,A03097,18-05-2025,Credit,35523.74,IMPS
T000233,A13285,30-12-2025,Credit,36356.07,NEFT
T000234,A06777,01-08-2025,Credit,19900.56,UPI
T000235,A09608,27-10-2024,Credit,987.59,ATM
T000236,A04760,28-03-2025,Credit,41683.6,NEFT
